,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
17,ky,smoothed_cli,2020-09-03,2020-11-19,77,0.7496707,0.1123734,4679.2599,state,fb-survey
18,la,smoothed_cli,2020-09-03,2020-11-19,77,0.7219304,0.1148693,3907.9973,state,fb-survey
19,ma,smoothed_cli,2020-09-03,2020-11-19,77,0.2518441,0.0565371,6100.0165,state,fb-survey
20,md,smoothed_cli,2020-09-03,2020-11-19,77,0.339749,0.0734477,4831.9981,state,fb-survey
21,me,smoothed_cli,2020-09-03,2020-11-19,77,0.4033965,0.1280613,2017.0,state,fb-survey
22,mi,smoothed_cli,2020-09-03,2020-11-19,77,0.4235945,0.0526488,11486.0711,state,fb-survey
23,mn,smoothed_cli,2020-09-03,2020-11-19,77,0.5151775,0.0852287,5587.7916,state,fb-survey
24,mo,smoothed_cli,2020-09-03,2020-11-19,77,0.6885307,0.0946108,6121.1525,state,fb-survey
25,ms,smoothed_cli,2020-09-03,2020-11-19,77,1.108692,0.1731315,2808.7991,state,fb-survey
26,mt,smoothed_cli,2020-09-03,2020-11-19,77,0.6764644,0.1821407,1556.7478,state,fb-survey
27,nc,smoothed_cli,2020-09-03,2020-11-19,77,0.6405233,0.0686145,10295.0107,state,fb-survey
28,nd,smoothed_cli,2020-09-03,2020-11-19,77,0.7802393,0.2559615,975.1253,state,fb-survey
29,ne,smoothed_cli,2020-09-03,2020-11-19,77,0.8623984,0.1747684,2157.651,state,fb-survey
30,nh,smoothed_cli,2020-09-03,2020-11-19,77,0.2617438,0.1072794,1923.0,state,fb-survey
31,nj,smoothed_cli,2020-09-03,2020-11-19,77,0.2467952,0.0473828,7370.9967,state,fb-survey
32,nm,smoothed_cli,2020-09-03,2020-11-19,77,0.436539,0.1177262,2094.2352,state,fb-survey
33,nv,smoothed_cli,2020-09-03,2020-11-19,77,0.7069439,0.1452816,2455.728,state,fb-survey
34,ny,smoothed_cli,2020-09-03,2020-11-19,77,0.3434348,0.0410242,15054.0019,state,fb-survey
35,oh,smoothed_cli,2020-09-03,2020-11-19,77,0.3849582,0.0486714,12105.0042,state,fb-survey
36,ok,smoothed_cli,2020-09-03,2020-11-19,77,0.767702,0.1083067,4586.8669,state,fb-survey
37,or,smoothed_cli,2020-09-03,2020-11-19,77,0.350132,0.0751868,4631.5173,state,fb-survey
38,pa,smoothed_cli,2020-09-03,2020-11-19,77,0.349297,0.0432802,14185.0088,state,fb-survey
39,ri,smoothed_cli,2020-09-03,2020-11-19,77,0.3993784,0.1652622,1276.9835,state,fb-survey
40,sc,smoothed_cli,2020-09-03,2020-11-19,77,0.7430135,0.0978677,5753.0029,state,fb-survey
41,sd,smoothed_cli,2020-09-03,2020-11-19,77,0.7045274,0.1974928,1220.0082,state,fb-survey
42,tn,smoothed_cli,2020-09-03,2020-11-19,77,0.8177539,0.0938423,6424.081,state,fb-survey
43,tx,smoothed_cli,2020-09-03,2020-11-19,77,0.6820153,0.0491581,21357.2665,state,fb-survey
44,ut,smoothed_cli,2020-09-03,2020-11-19,77,0.672023,0.1215605,3265.1741,state,fb-survey
45,va,smoothed_cli,2020-09-03,2020-11-19,77,0.5347004,0.0669692,8644.05,state,fb-survey
